Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1971,-999.0,-999.0,25.67,6.13,10.82,4.18,166.45,301.37,67.04
1972,-999.0,-999.0,60.4,16.65,19.79,4.52,229.56,379.86,133.88
1973,-999.0,-999.0,27.86,7.27,12.08,4.91,213.1,259.79,109.47
1974,-999.0,-999.0,38.89,12.02,16.34,1.01,303.16,452.56,128.46
1975,-999.0,-999.0,78.91,38.21,22.27,1.28,284.42,315.22,62.45
1976,-999.0,-999.0,29.5,9.38,15.98,4.64,204.92,250.64,111.15
1977,-999.0,-999.0,140.95,34.35,62.36,0.0,320.84,368.05,73.5
1978,-999.0,-999.0,42.27,10.94,17.9,1.28,237.98,364.05,98.04
1979,-999.0,-999.0,35.43,19.62,8.66,3.85,236.45,262.99,99.3
1980,-999.0,-999.0,56.76,23.05,28.38,2.9,233.21,292.76,70.73
1981,-999.0,-999.0,35.37,15.14,17.54,1.62,239.48,347.64,126.95
1982,-999.0,-999.0,92.6,32.66,18.8,1.28,294.83,321.2,97.41
1983,-999.0,-999.0,20.41,7.74,6.98,2.5,173.78,218.57,79.83
1984,-999.0,-999.0,23.24,8.33,10.83,1.34,204.77,338.18,173.21
1985,-999.0,-999.0,81.25,27.93,40.32,4.85,292.88,402.04,138.83
1986,-999.0,-999.0,65.26,31.51,22.28,3.24,264.28,380.25,140.61
1987,-999.0,-999.0,106.54,26.98,48.32,11.78,286.22,331.38,137.18
1988,-999.0,-999.0,81.65,17.96,44.91,2.63,210.48,298.01,111.29
1989,-999.0,-999.0,32.71,11.84,20.15,1.95,227.37,380.5,187.26
1990,-999.0,-999.0,25.23,9.58,9.83,2.29,250.12,330.95,125.77
1991,-999.0,-999.0,117.32,68.69,30.14,1.28,380.8,443.01,78.33
1992,-999.0,-999.0,42.1,8.97,24.58,20.82,185.73,274.94,164.06
1993,-999.0,-999.0,44.95,23.83,15.61,14.03,188.61,234.34,141.74
1994,-999.0,-999.0,38.8,7.41,32.97,8.09,244.53,307.08,126.63
1995,-999.0,-999.0,30.13,12.1,6.26,4.06,301.91,298.12,74.37
1996,-999.0,-999.0,35.54,11.61,8.61,1.01,271.14,420.46,178.46
1997,-999.0,-999.0,15.26,4.11,7.41,12.27,216.7,251.16,200.99
1998,-999.0,-999.0,108.98,44.08,35.59,1.89,307.85,407.16,68.73
1999,-999.0,-999.0,62.79,23.33,16.65,1.01,276.1,378.57,96.5
2000,-999.0,-999.0,77.0,29.41,30.56,3.63,328.56,456.09,203.83
2001,-999.0,-999.0,71.92,23.09,26.2,9.32,280.53,390.79,188.95
2002,-999.0,-999.0,24.33,10.6,8.5,2.63,296.23,389.46,145.6
2003,-999.0,-999.0,37.63,10.46,12.64,2.63,302.57,404.58,130.08
2004,-999.0,-999.0,69.67,57.13,20.59,2.56,326.55,396.11,178.31
2005,-999.0,-999.0,34.37,4.72,16.24,3.45,194.34,312.11,130.66
2006,-999.0,-999.0,59.08,17.47,30.41,5.64,307.91,523.77,168.52
2007,-999.0,-999.0,99.8,32.83,36.11,6.6,283.13,352.1,166.87
2008,-999.0,-999.0,26.05,7.38,9.88,3.51,245.48,374.85,108.24
2009,-999.0,-999.0,48.21,21.44,17.56,4.63,271.19,354.93,185.78
2010,-999.0,-999.0,74.94,41.96,16.16,0.0,327.72,366.69,77.18
2011,-999.0,-999.0,46.14,36.88,11.86,0.0,312.94,458.45,102.52
2012,-999.0,-999.0,137.39,62.84,47.1,2.29,433.17,569.77,173.67
2013,-999.0,-999.0,55.43,22.13,14.7,4.58,200.31,278.19,164.52
2014,-999.0,-999.0,53.38,25.16,17.06,7.53,255.75,303.7,162.61
2015,-999.0,-999.0,69.01,61.7,14.13,8.63,360.25,352.9,122.86
2016,-999.0,-999.0,50.41,17.39,20.32,8.41,295.3,369.59,126.57
2017,-999.0,-999.0,47.03,20.31,16.01,5.07,327.19,412.01,157.2
2018,-999.0,-999.0,141.95,64.27,50.16,16.14,351.95,485.65,180.99
2019,-999.0,-999.0,42.24,38.03,7.65,6.95,362.16,337.39,93.22
2020,-999.0,-999.0,34.76,11.62,11.79,3.91,294.05,421.43,182.38
2021,-999.0,-999.0,41.17,16.58,16.24,3.24,254.59,316.75,164.38
