Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1950,10.084,62.912,5.219,53.012,6.554,0.387,0.398,16.572,12.522,7.099,0.779,0.831,0.327,10.523,0.548,12.856,0.03,1.695,0.306,0.157,0.969,10.088,1.344,3.254,4.908,29.2,0.174,0.512,19.546,0.269,7.187,1.297,0.338,13.689,6.839,0.532,0.097,15.437,4.681,1.778,37.666,21.606,0.091,1.987,5.665,0.718,0.221,3.511,0.0,0.078,6.812,
1951,42.425,70.943,33.591,48.906,9.736,0.387,0.058,22.573,35.13,9.893,1.821,3.865,0.729,17.538,7.347,51.555,0.03,2.815,0.241,0.188,0.638,51.625,5.323,5.727,6.134,28.449,0.174,0.664,35.42,0.276,13.053,3.88,2.037,45.111,7.007,0.942,0.097,27.049,5.519,12.605,70.977,23.824,0.044,5.435,8.097,3.042,0.093,5.275,0.0,0.078,-999.0,
1952,46.361,73.27,60.644,50.515,12.63,1.786,6.731,21.225,44.398,6.404,13.189,16.04,4.171,57.014,29.629,41.101,2.136,9.27,2.919,1.548,1.079,54.177,29.955,5.14,26.372,23.637,3.077,5.438,29.74,2.125,21.377,6.966,11.101,72.487,8.292,6.217,2.002,37.879,16.018,37.974,62.27,20.785,0.847,12.037,9.068,9.249,0.467,5.563,0.0,0.078,11.057,
1953,37.601,67.282,64.989,45.83,10.999,4.378,12.631,12.838,27.698,8.619,25.094,24.129,10.199,51.261,30.592,46.124,0.956,13.535,4.687,4.096,1.406,47.998,46.053,5.955,24.249,29.519,4.017,9.108,33.342,4.512,17.465,2.452,13.33,64.767,5.186,9.522,2.359,29.256,9.774,29.985,71.902,28.084,2.075,14.926,5.026,13.923,2.951,7.117,0.0,0.078,14.953,
1954,71.976,67.14,84.489,47.641,16.297,0.673,8.038,24.327,58.596,8.465,24.358,20.918,9.042,68.777,32.291,64.448,0.003,10.183,0.472,0.717,1.503,71.247,51.318,6.2,28.58,31.136,0.294,3.177,28.36,0.84,25.177,2.706,6.284,85.889,2.854,3.487,0.097,53.963,14.95,48.316,72.952,30.614,0.044,15.176,2.516,6.058,0.509,11.463,0.0,0.078,10.79,
1955,18.432,58.183,29.609,50.178,11.431,3.982,10.904,12.568,15.3,11.017,17.72,17.62,22.49,46.798,12.492,11.967,1.937,9.307,3.75,5.953,6.676,16.503,25.904,6.867,36.007,32.627,4.137,8.232,20.045,4.685,7.845,7.119,6.748,49.28,6.956,5.601,1.168,12.771,26.551,15.824,43.939,27.485,2.355,6.607,6.553,6.178,6.249,7.673,0.0,0.038,6.983,
1956,25.824,72.453,48.283,46.03,10.313,1.103,2.319,13.27,22.678,7.479,6.678,5.355,8.582,63.243,5.205,32.474,0.029,3.882,0.922,1.206,2.15,33.164,25.184,4.391,24.021,25.675,1.584,1.632,31.649,0.493,10.84,2.713,1.284,87.849,7.228,1.12,0.097,27.284,14.129,13.758,75.416,26.578,0.12,4.68,7.922,1.143,1.099,5.003,0.0,0.038,0.25,
1957,22.09,61.932,20.447,46.771,8.724,2.871,9.023,8.027,21.682,5.239,3.462,2.462,6.977,34.77,6.735,26.341,0.092,7.439,1.285,0.311,1.806,15.916,17.19,5.716,17.272,27.615,1.017,4.593,24.924,1.019,12.875,4.779,2.024,50.11,3.04,2.629,2.002,22.578,10.089,8.53,54.305,21.563,0.044,7.93,2.705,6.043,0.418,6.394,0.0,0.101,2.402,
1958,10.005,72.851,16.805,53.113,11.002,0.387,0.058,15.015,13.379,10.371,0.832,0.456,1.946,21.828,1.383,19.079,0.026,0.971,0.174,0.116,2.065,9.23,3.196,5.417,9.493,31.886,0.174,0.473,32.271,0.271,6.05,7.868,0.174,45.99,10.175,0.431,0.097,15.887,14.9,4.188,59.166,30.534,0.044,1.786,14.05,0.594,0.471,4.841,0.0,0.038,0.25,
1959,14.047,65.63,12.526,52.847,11.178,0.578,2.468,8.072,16.284,10.558,5.282,4.782,2.463,30.787,5.544,10.571,0.065,4.799,0.796,0.294,2.834,8.552,9.779,6.218,18.876,38.892,1.135,2.241,25.506,1.269,8.872,12.515,2.81,27.615,8.531,1.66,0.097,14.074,26.073,4.41,42.218,29.986,1.736,6.428,6.19,4.958,0.326,7.599,0.0,0.038,0.163,
