Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1900,1.683,0.005,0.538,0.409,0.06,1.0,-999.0,0.749,1.12,0.126,0.217,0.126,0.449,0.252,0.995,2.345,1.967,-999.0,0.333,0.182,0.511,2.808,0.445,0.121,0.568,0.0,0.0,0.006,0.027,0.059,0.261,0.136,0.03,0.876,0.0,0.0,0.0,0.421,0.24,0.463,1.838,0.007,0.054,0.317,0.093,0.009,0.38,0.026,-999.0,-999.0,-999.0,
1901,1.016,0.067,0.267,0.515,0.06,0.0,-999.0,1.943,2.053,0.001,0.114,0.345,0.197,0.006,0.176,1.213,0.467,-999.0,0.389,0.188,0.44,1.641,0.112,0.005,0.26,0.0,0.0,0.339,0.018,0.518,1.518,0.0,0.07,0.34,0.084,0.388,1.0,0.978,0.18,0.536,0.756,0.002,0.054,0.868,0.304,0.207,0.12,0.026,-999.0,-999.0,-999.0,
1902,0.795,0.0,1.719,0.52,0.143,0.0,-999.0,1.614,0.812,0.0,0.5,0.381,0.969,0.452,0.673,0.961,0.0,-999.0,0.556,0.041,0.183,1.473,0.711,0.002,0.339,0.004,0.0,0.167,0.313,0.376,0.291,0.0,0.034,1.128,0.041,0.0,0.0,0.495,0.124,0.895,1.34,0.002,0.054,0.345,0.282,0.009,0.103,0.0,-999.0,-999.0,-999.0,
1903,1.046,0.0,0.436,0.5,0.0,1.0,-999.0,1.98,1.291,0.0,0.246,0.565,0.519,0.523,0.499,0.76,0.967,-999.0,1.778,0.067,0.432,0.633,0.612,0.0,0.427,0.0,0.0,1.167,0.313,0.603,0.549,0.0,0.035,0.851,0.312,0.332,0.0,0.692,0.22,0.382,0.734,0.0,0.0,0.289,0.223,0.198,0.356,0.026,-999.0,-999.0,-999.0,
1904,0.083,0.055,1.129,0.663,0.177,0.0,-999.0,0.533,0.355,0.0,0.583,0.372,0.181,0.34,0.176,0.858,0.25,0.0,0.778,0.092,0.098,0.582,0.894,0.0,0.19,0.004,0.0,0.667,0.0,0.35,0.525,0.0,0.034,0.582,0.342,0.012,0.0,0.489,0.165,0.136,0.761,0.002,0.0,0.144,0.018,0.253,0.093,0.026,-999.0,-999.0,-999.0,
1905,0.819,0.055,1.334,0.263,0.084,1.0,-999.0,1.305,0.64,0.0,0.423,0.539,0.384,0.438,0.338,2.78,0.0,0.0,0.424,0.497,0.232,1.046,1.166,0.0,0.462,0.004,1.0,0.172,0.149,0.008,0.672,0.191,0.201,0.344,0.0,0.013,0.0,0.309,0.309,0.294,0.908,0.002,0.333,0.385,0.111,0.2,0.112,0.0,-999.0,1.419,1.0,
1906,1.493,0.24,1.764,0.565,0.0,0.0,-999.0,0.695,1.562,0.0,0.293,0.431,0.39,0.285,0.827,1.447,0.25,0.0,0.0,0.0,0.148,1.503,0.675,0.077,0.194,0.004,0.0,0.172,0.0,0.073,0.835,0.077,0.023,0.238,0.0,0.005,0.0,0.757,0.115,1.003,0.77,0.402,0.0,0.028,0.241,0.192,0.129,0.001,-999.0,3.268,-999.0,
1907,0.4,0.0,1.388,0.634,0.053,0.0,-999.0,0.706,0.47,0.0,0.201,0.241,0.34,0.1,0.17,2.826,0.0,0.0,1.0,0.025,0.091,0.919,0.303,0.073,0.128,0.004,0.0,0.167,0.134,0.0,0.395,0.0,0.168,0.45,0.492,0.005,0.0,0.997,0.079,0.383,0.953,0.003,0.468,0.476,0.031,0.082,0.539,0.0,-999.0,4.067,0.0,
1908,1.285,0.0,0.647,0.031,0.133,0.0,-999.0,0.903,1.436,0.0,0.239,0.264,0.241,0.557,0.086,1.57,0.0,0.0,0.408,0.0,0.292,1.212,0.376,0.085,0.264,0.004,0.0,0.333,0.0,0.239,0.952,0.063,0.068,2.302,0.11,0.005,1.0,1.006,0.375,0.117,1.159,0.003,0.0,0.599,0.096,0.0,0.217,0.001,-999.0,2.587,0.0,
1909,1.553,0.0,0.623,0.948,0.042,0.0,-999.0,1.538,0.573,0.0,0.17,0.25,0.438,0.458,0.757,1.679,0.027,0.0,0.333,0.201,0.41,1.948,0.799,0.04,0.337,0.004,0.0,0.31,0.117,0.2,0.245,0.0,0.301,0.715,0.224,0.0,0.0,0.737,0.18,0.211,0.441,0.0,0.0,0.099,0.343,0.0,0.263,0.0,-999.0,1.419,-999.0,
1910,0.319,0.0,0.68,0.048,0.158,0.0,-999.0,1.488,0.392,0.0,0.379,0.91,0.075,0.162,0.331,0.986,0.0,0.0,0.111,0.074,0.061,0.843,0.678,0.0,0.166,0.0,0.0,0.333,0.0,0.093,0.496,0.0,0.267,0.19,0.193,0.125,0.0,0.665,0.072,0.479,0.52,0.0,0.0,0.059,0.127,0.209,0.09,0.0,-999.0,2.337,2.0,
1911,0.676,0.0,1.214,0.571,0.077,0.0,-999.0,0.659,0.697,0.0,0.414,0.226,0.225,0.282,0.315,1.938,0.25,0.0,0.889,0.095,0.1,2.128,1.022,0.133,0.465,0.004,1.0,0.5,0.187,0.213,0.353,0.0,0.354,0.506,0.26,0.206,0.0,0.262,0.0,0.576,0.621,0.0,0.0,0.0,0.217,0.083,0.147,0.0,-999.0,1.419,0.0,
1912,1.496,0.0,0.707,0.387,0.0,0.0,-999.0,1.094,1.265,0.0,0.251,0.155,0.12,0.115,0.331,2.015,0.0,1.0,0.0,0.064,0.141,1.501,0.347,0.033,0.096,0.0,0.0,0.333,0.0,0.01,0.534,0.0,0.366,0.644,0.037,0.151,1.0,1.01,0.107,0.463,0.635,0.009,0.468,0.81,0.064,0.206,0.297,0.0,-999.0,0.562,1.0,
1913,0.948,0.0,1.188,0.487,0.038,1.0,-999.0,0.22,0.55,0.141,0.279,0.43,0.104,0.145,1.197,1.513,0.5,0.0,0.0,0.023,0.208,1.481,0.385,0.1,0.045,0.0,0.0,0.005,0.0,0.4,1.058,0.0,0.557,0.753,0.0,0.0,1.0,0.197,0.13,1.15,1.385,0.003,1.042,0.196,0.01,0.506,0.185,0.0,-999.0,1.237,0.0,
1914,0.401,0.0,0.78,0.69,0.103,0.0,-999.0,0.999,0.535,0.0,0.196,0.091,0.571,0.377,0.592,1.389,0.75,0.0,0.0,0.18,0.198,0.701,0.641,0.071,0.205,0.0,0.0,0.172,0.001,0.133,0.353,0.375,0.035,0.259,0.046,0.0,0.0,0.185,0.236,0.352,1.344,0.005,0.0,0.006,0.099,0.206,0.323,0.008,-999.0,1.567,2.0,
1915,1.508,0.048,1.122,0.913,0.026,1.0,-999.0,1.516,1.496,0.0,0.534,0.317,0.534,0.501,0.415,2.263,0.25,0.0,0.889,0.089,0.087,1.964,1.004,0.0,0.471,0.0,0.0,0.172,0.111,0.374,0.678,0.062,0.168,0.983,0.092,0.0,1.0,0.73,0.152,0.99,0.864,0.0,0.0,0.898,0.063,0.5,0.389,0.25,-999.0,5.087,1.0,
1916,1.829,0.215,0.507,0.484,0.004,1.0,-999.0,0.933,1.099,0.0,0.299,0.161,0.301,0.372,0.253,2.199,1.25,1.0,0.556,0.107,0.171,1.58,0.424,0.142,0.03,0.0,0.0,0.0,0.222,0.15,0.86,0.0,0.101,0.864,0.092,0.0,-999.0,0.852,0.03,0.441,0.642,0.002,0.0,0.223,0.07,0.007,0.047,0.01,-999.0,4.067,0.0,
1917,1.094,0.048,0.43,0.151,0.078,0.0,-999.0,0.642,0.602,0.0,0.412,0.134,0.104,0.134,0.814,0.447,0.0,0.0,0.0,0.076,0.056,0.508,0.167,0.0,0.331,0.0,0.0,0.167,0.056,0.0,0.633,0.0,0.0,0.226,0.167,0.005,-999.0,0.345,0.025,0.497,0.182,0.0,0.0,0.194,0.137,0.167,0.19,0.0,-999.0,0.772,0.0,
