 Year,National,#grids
1950,     8.560,       262
1951,     9.084,       263
1952,     7.437,       263
1953,     7.323,       263
1954,     6.825,       263
1955,     7.006,       263
1956,     6.317,       264
1957,     9.512,       263
1958,     8.690,       262
1959,     8.709,       262
1960,     7.633,       265
1961,     8.532,       264
1962,     7.490,       265
1963,     7.028,       264
1964,     8.890,       264
1965,     8.286,       264
1966,     7.644,       265
1967,     8.274,       264
1968,     7.751,       264
1969,     9.107,       264
1970,     8.634,       264
1971,     7.577,       265
1972,     7.906,       263
1973,    10.482,       261
1974,     7.931,       264
1975,     8.622,       263
1976,     6.648,       262
1977,     8.266,       264
1978,     8.278,       263
1979,     9.727,       263
1980,     7.788,       264
1981,     7.890,       263
1982,     9.902,       262
1983,    10.574,       263
1984,     8.501,       262
1985,     8.261,       263
1986,     8.287,       262
1987,     7.794,       261
1988,     6.885,       262
1989,     7.890,       262
1990,     8.856,       261
1991,     8.984,       262
1992,     8.938,       263
1993,     9.420,       263
1994,     8.515,       262
1995,     9.351,       261
1996,     9.720,       265
1997,     8.752,       264
1998,     9.990,       262
1999,     7.844,       264
2000,     7.541,       261
2001,     8.571,       263
2002,     8.498,       264
2003,     8.680,       262
2004,     8.848,       263
2005,     8.577,       259
2006,     8.267,       262
2007,     7.677,       258
2008,     9.490,       258
2009,    10.035,       258
2010,     8.483,       259
2011,     8.379,       252
2012,     7.263,       252
2013,     9.036,       248
2014,     8.956,       248
2015,     9.603,       247
2016,     8.480,       245
2017,     9.427,       242
2018,    10.171,       237
