 Year,National,#grids
1900,     0.533,       341
1901,     0.461,       345
1902,     0.543,       365
1903,     0.447,       373
1904,     0.340,       376
1905,     0.511,       382
1906,     0.482,       383
1907,     0.411,       389
1908,     0.451,       383
1909,     0.463,       393
1910,     0.311,       386
1911,     0.434,       395
1912,     0.409,       397
1913,     0.467,       392
1914,     0.383,       394
1915,     0.607,       393
1916,     0.425,       395
1917,     0.228,       390
1918,     0.365,       390
1919,     0.483,       391
1920,     0.455,       387
1921,     0.357,       388
1922,     0.410,       398
1923,     0.367,       397
1924,     0.322,       397
1925,     0.296,       397
1926,     0.432,       399
1927,     0.413,       396
1928,     0.513,       400
1929,     0.462,       396
1930,     0.258,       401
1931,     0.336,       406
1932,     0.489,       409
1933,     0.409,       407
1934,     0.346,       410
1935,     0.418,       408
1936,     0.429,       405
1937,     0.463,       403
1938,     0.461,       406
1939,     0.260,       407
1940,     0.418,       408
1941,     0.477,       405
1942,     0.517,       404
1943,     0.435,       407
1944,     0.472,       406
1945,     0.558,       406
1946,     0.500,       402
1947,     0.464,       394
1948,     0.440,       401
1949,     0.441,       405
1950,     0.460,       408
1951,     0.410,       408
1952,     0.320,       407
1953,     0.453,       412
1954,     0.381,       411
1955,     0.453,       410
1956,     0.325,       408
1957,     0.596,       412
1958,     0.419,       406
1959,     0.463,       406
1960,     0.406,       409
1961,     0.612,       408
1962,     0.298,       413
1963,     0.331,       407
1964,     0.598,       412
1965,     0.402,       412
1966,     0.391,       413
1967,     0.408,       412
1968,     0.343,       409
1969,     0.509,       412
1970,     0.404,       410
1971,     0.395,       410
1972,     0.451,       408
1973,     0.679,       405
1974,     0.523,       404
1975,     0.475,       403
1976,     0.317,       406
1977,     0.453,       406
1978,     0.432,       404
1979,     0.671,       401
1980,     0.443,       406
1981,     0.414,       409
1982,     0.588,       407
1983,     0.552,       406
1984,     0.392,       404
1985,     0.487,       402
1986,     0.446,       402
1987,     0.390,       400
1988,     0.347,       398
1989,     0.495,       405
1990,     0.571,       405
1991,     0.620,       405
1992,     0.423,       405
1993,     0.525,       404
1994,     0.478,       402
1995,     0.636,       402
1996,     0.633,       401
1997,     0.530,       399
1998,     0.705,       400
1999,     0.493,       401
2000,     0.427,       403
2001,     0.519,       405
2002,     0.528,       409
2003,     0.515,       398
2004,     0.596,       404
2005,     0.448,       392
2006,     0.470,       401
2007,     0.440,       393
2008,     0.717,       387
2009,     0.619,       386
2010,     0.550,       389
2011,     0.483,       366
2012,     0.410,       372
2013,     0.577,       366
2014,     0.488,       363
2015,     0.747,       355
2016,     0.670,       359
2017,     0.688,       351
2018,     0.687,       345
