 Year,National,#grids
1900,     9.923,       334
1901,    10.836,       344
1902,     9.813,       367
1903,    11.068,       376
1904,    13.444,       376
1905,    13.612,       389
1906,     8.739,       385
1907,     9.334,       382
1908,     6.502,       387
1909,    11.369,       392
1910,     9.602,       384
1911,     9.041,       392
1912,    15.575,       395
1913,    10.709,       394
1914,    12.793,       395
1915,     6.809,       399
1916,    16.326,       393
1917,    17.613,       398
1918,    13.538,       393
1919,    11.356,       397
1920,    10.027,       398
1921,     5.230,       396
1922,    11.583,       400
1923,     8.809,       402
1924,    14.414,       402
1925,     8.692,       401
1926,     7.663,       401
1927,     9.719,       398
1928,     6.503,       401
1929,    14.787,       401
1930,    10.643,       400
1931,     3.421,       407
1932,    10.772,       405
1933,     8.999,       405
1934,     8.011,       406
1935,     9.029,       407
1936,    17.137,       405
1937,    12.644,       403
1938,     7.072,       403
1939,     7.331,       407
1940,    12.019,       406
1941,     5.633,       405
1942,     9.594,       409
1943,    11.776,       405
1944,     7.480,       406
1945,     9.760,       404
1946,     7.221,       399
1947,     8.192,       394
1948,    13.572,       398
1949,    11.528,       399
1950,    13.525,       405
1951,    13.520,       406
1952,     7.277,       402
1953,     4.690,       406
1954,     6.042,       407
1955,    12.099,       405
1956,     8.683,       402
1957,     8.851,       405
1958,    10.055,       401
1959,    10.028,       405
1960,    11.362,       406
1961,     8.957,       401
1962,    13.338,       409
1963,    17.199,       405
1964,     8.630,       406
1965,    10.551,       406
1966,    11.664,       407
1967,     9.224,       407
1968,    10.568,       404
1969,     9.357,       406
1970,    12.131,       404
1971,    10.629,       404
1972,    14.132,       402
1973,     7.600,       398
1974,     8.754,       400
1975,     8.916,       397
1976,    11.382,       402
1977,    14.754,       402
1978,    17.181,       400
1979,    16.285,       398
1980,    10.344,       399
1981,     7.864,       403
1982,    13.605,       402
1983,     9.302,       398
1984,     9.299,       401
1985,    15.596,       398
1986,     7.110,       401
1987,     3.766,       399
1988,    11.200,       399
1989,    14.940,       402
1990,     6.507,       400
1991,     7.210,       398
1992,     4.742,       402
1993,     9.815,       399
1994,    11.051,       400
1995,     7.862,       398
1996,    13.671,       400
1997,     8.110,       402
1998,     4.718,       399
1999,     5.157,       397
2000,     8.720,       395
2001,     5.850,       397
2002,     4.509,       398
2003,     9.016,       393
2004,     8.565,       395
2005,     7.827,       381
2006,     2.986,       389
2007,     8.982,       385
2008,    11.078,       377
2009,    10.337,       377
2010,     7.594,       375
2011,     8.795,       374
2012,     3.736,       371
2013,     9.321,       359
2014,    15.142,       358
2015,    11.092,       350
2016,     6.022,       357
2017,     6.919,       345
2018,     9.418,       337
