 Year,National,#grids
1950,     2.153,       262
1951,     1.889,       263
1952,     1.565,       263
1953,     1.614,       263
1954,     1.434,       263
1955,     1.563,       263
1956,     1.315,       264
1957,     2.095,       263
1958,     1.881,       262
1959,     1.829,       262
1960,     1.600,       265
1961,     2.018,       264
1962,     1.601,       265
1963,     1.596,       264
1964,     2.332,       264
1965,     1.722,       264
1966,     1.786,       265
1967,     1.670,       264
1968,     1.677,       264
1969,     2.340,       264
1970,     1.905,       264
1971,     1.551,       265
1972,     1.690,       263
1973,     2.358,       261
1974,     1.779,       264
1975,     1.798,       263
1976,     1.331,       262
1977,     1.827,       264
1978,     1.766,       263
1979,     2.255,       263
1980,     1.747,       264
1981,     1.668,       263
1982,     2.344,       262
1983,     2.480,       263
1984,     1.689,       262
1985,     1.814,       263
1986,     1.929,       262
1987,     1.733,       261
1988,     1.487,       262
1989,     1.770,       262
1990,     1.940,       261
1991,     2.061,       262
1992,     1.884,       263
1993,     2.100,       263
1994,     1.812,       262
1995,     2.370,       261
1996,     2.272,       265
1997,     2.001,       264
1998,     2.429,       262
1999,     1.623,       264
2000,     1.615,       261
2001,     2.019,       263
2002,     2.090,       264
2003,     1.937,       262
2004,     2.054,       263
2005,     2.011,       259
2006,     1.830,       262
2007,     1.766,       258
2008,     2.558,       258
2009,     2.489,       258
2010,     2.017,       259
2011,     1.974,       252
2012,     1.659,       252
2013,     2.191,       248
2014,     2.258,       248
2015,     2.306,       247
2016,     2.164,       245
2017,     2.523,       242
2018,     2.580,       237
