 Year,National,#grids
1900,   110.369,       334
1901,   117.375,       344
1902,   107.598,       367
1903,   114.410,       376
1904,   118.480,       376
1905,   114.041,       389
1906,   110.912,       385
1907,   116.724,       382
1908,   112.284,       387
1909,   113.966,       392
1910,   111.343,       384
1911,   112.639,       392
1912,   121.482,       395
1913,   108.216,       394
1914,   111.447,       395
1915,   112.280,       399
1916,   117.578,       393
1917,   125.150,       398
1918,   108.014,       393
1919,   112.868,       397
1920,   115.413,       398
1921,    99.526,       396
1922,   107.452,       400
1923,   111.728,       402
1924,   118.281,       402
1925,   113.063,       401
1926,   115.735,       401
1927,   102.695,       398
1928,   112.246,       401
1929,   114.737,       401
1930,   112.032,       400
1931,   100.433,       407
1932,   110.273,       405
1933,   106.897,       405
1934,   106.146,       406
1935,   110.396,       407
1936,   116.394,       405
1937,   114.101,       403
1938,   102.809,       403
1939,   109.767,       407
1940,   111.716,       406
1941,   105.945,       405
1942,   113.428,       409
1943,   118.077,       405
1944,   114.125,       406
1945,   110.126,       404
1946,   100.368,       399
1947,   115.720,       394
1948,   112.683,       398
1949,   109.099,       399
1950,   115.757,       405
1951,   117.662,       406
1952,   116.001,       402
1953,   105.507,       406
1954,   112.427,       407
1955,   116.382,       405
1956,   116.385,       402
1957,   107.725,       405
1958,   113.870,       401
1959,   116.447,       405
1960,   121.070,       406
1961,   115.038,       401
1962,   113.914,       409
1963,   113.964,       405
1964,   117.848,       406
1965,   113.759,       406
1966,   119.175,       407
1967,   115.524,       407
1968,   117.862,       404
1969,   120.316,       406
1970,   118.758,       404
1971,   114.610,       404
1972,   114.646,       402
1973,   104.535,       398
1974,   110.449,       400
1975,   115.685,       397
1976,   123.518,       402
1977,   110.086,       402
1978,   118.450,       400
1979,   117.718,       398
1980,   115.291,       399
1981,   109.686,       403
1982,   110.478,       402
1983,   108.384,       398
1984,   111.190,       401
1985,   113.180,       398
1986,   103.263,       401
1987,   107.039,       399
1988,   116.160,       399
1989,   115.957,       402
1990,   104.786,       400
1991,   106.885,       398
1992,   104.602,       402
1993,   113.104,       399
1994,   105.282,       400
1995,   109.315,       398
1996,   116.059,       400
1997,   110.752,       402
1998,    91.310,       399
1999,   104.553,       397
2000,   107.830,       395
2001,   104.222,       397
2002,   115.183,       398
2003,   106.226,       393
2004,   101.238,       395
2005,   105.099,       381
2006,   102.322,       389
2007,   108.254,       385
2008,   117.178,       377
2009,   110.456,       377
2010,   111.756,       375
2011,   110.551,       374
2012,   100.656,       371
2013,   124.304,       359
2014,   116.240,       358
2015,   102.334,       350
2016,   100.204,       357
2017,   101.937,       345
2018,   117.584,       337
