 Year,National,#grids
1900,     0.179,       341
1901,     0.143,       345
1902,     0.179,       365
1903,     0.134,       373
1904,     0.103,       376
1905,     0.194,       382
1906,     0.174,       383
1907,     0.147,       389
1908,     0.176,       383
1909,     0.157,       393
1910,     0.102,       386
1911,     0.142,       395
1912,     0.097,       397
1913,     0.155,       392
1914,     0.140,       394
1915,     0.191,       393
1916,     0.156,       395
1917,     0.058,       390
1918,     0.123,       390
1919,     0.135,       391
1920,     0.145,       387
1921,     0.122,       388
1922,     0.092,       398
1923,     0.102,       397
1924,     0.111,       397
1925,     0.105,       397
1926,     0.136,       399
1927,     0.139,       396
1928,     0.197,       400
1929,     0.186,       396
1930,     0.080,       401
1931,     0.101,       406
1932,     0.179,       409
1933,     0.135,       407
1934,     0.108,       410
1935,     0.144,       408
1936,     0.131,       405
1937,     0.146,       403
1938,     0.130,       406
1939,     0.086,       407
1940,     0.152,       408
1941,     0.138,       405
1942,     0.185,       404
1943,     0.154,       407
1944,     0.173,       406
1945,     0.193,       406
1946,     0.162,       402
1947,     0.161,       394
1948,     0.141,       401
1949,     0.151,       405
1950,     0.131,       408
1951,     0.119,       408
1952,     0.084,       407
1953,     0.150,       412
1954,     0.107,       411
1955,     0.140,       410
1956,     0.104,       408
1957,     0.200,       412
1958,     0.113,       406
1959,     0.157,       406
1960,     0.169,       409
1961,     0.233,       408
1962,     0.101,       413
1963,     0.099,       407
1964,     0.200,       412
1965,     0.134,       412
1966,     0.113,       413
1967,     0.142,       412
1968,     0.111,       409
1969,     0.159,       412
1970,     0.138,       410
1971,     0.139,       410
1972,     0.121,       408
1973,     0.256,       405
1974,     0.166,       404
1975,     0.159,       403
1976,     0.109,       406
1977,     0.152,       406
1978,     0.138,       404
1979,     0.290,       401
1980,     0.152,       406
1981,     0.131,       409
1982,     0.216,       407
1983,     0.201,       406
1984,     0.093,       404
1985,     0.176,       402
1986,     0.160,       402
1987,     0.120,       400
1988,     0.097,       398
1989,     0.153,       405
1990,     0.218,       405
1991,     0.183,       405
1992,     0.124,       405
1993,     0.189,       404
1994,     0.189,       402
1995,     0.213,       402
1996,     0.211,       401
1997,     0.172,       399
1998,     0.286,       400
1999,     0.167,       401
2000,     0.109,       403
2001,     0.189,       405
2002,     0.199,       409
2003,     0.173,       398
2004,     0.240,       404
2005,     0.168,       392
2006,     0.145,       401
2007,     0.157,       393
2008,     0.273,       387
2009,     0.190,       386
2010,     0.177,       389
2011,     0.196,       366
2012,     0.173,       372
2013,     0.185,       366
2014,     0.159,       363
2015,     0.270,       355
2016,     0.283,       359
2017,     0.298,       351
2018,     0.205,       345
