 Year,National,#grids
1950,     0.670,       354
1951,     0.770,       358
1952,     0.968,       359
1953,     0.913,       360
1954,     1.034,       360
1955,     0.625,       360
1956,     0.656,       360
1957,     0.885,       363
1958,     0.967,       361
1959,     0.984,       362
1960,     0.803,       362
1961,     0.809,       361
1962,     0.650,       364
1963,     0.711,       365
1964,     0.685,       362
1965,     0.469,       361
1966,     0.824,       364
1967,     0.737,       362
1968,     0.483,       361
1969,     1.145,       362
1970,     1.031,       364
1971,     0.838,       363
1972,     0.776,       360
1973,     0.755,       357
1974,     0.791,       359
1975,     0.621,       361
1976,     0.555,       359
1977,     0.993,       361
1978,     1.034,       359
1979,     0.721,       360
1980,     1.328,       358
1981,     1.169,       361
1982,     0.739,       364
1983,     0.836,       361
1984,     0.831,       361
1985,     0.837,       362
1986,     0.942,       360
1987,     0.817,       361
1988,     1.171,       360
1989,     1.037,       360
1990,     1.082,       358
1991,     0.608,       361
1992,     0.846,       362
1993,     0.583,       362
1994,     1.294,       359
1995,     1.207,       360
1996,     1.312,       361
1997,     1.044,       360
1998,     1.636,       357
1999,     1.066,       356
2000,     1.335,       354
2001,     1.207,       356
2002,     1.259,       358
2003,     1.371,       357
2004,     1.118,       356
2005,     1.246,       349
2006,     1.608,       356
2007,     1.394,       350
2008,     1.278,       343
2009,     1.349,       347
2010,     1.773,       350
2011,     1.663,       345
2012,     1.432,       342
2013,     1.255,       328
2014,     0.936,       327
2015,     1.457,       320
2016,     1.767,       323
2017,     1.293,       317
2018,     1.325,       307
